"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"Q9BSF4","TIMM29","3.499866","1.5197718"
"P41091","EIF2S3","5.245744","1.5153884"
"Q86UY8","NT5DC3","3.8358026","1.5148932"
"Q9BV73","CEP250","4.1270375","1.5144105"
"O95758","PTBP3","5.146963","1.513266"
"Q96CW5","TUBGCP3","2.998303","1.5121546"
"P61421","ATP6V0D1","5.964257","1.5099366"
"Q9P2M7","CGN","5.218305","1.5091848"
"P32320","CDA","5.043458","1.506313"
"Q7L0Y3","TRMT10C","5.1571207","1.503235"
"Q9Y375","NDUFAF1","3.4374397","1.5025451"
"Q9P0S2","COX16","3.183909","1.5022172"
"Q96HS1","PGAM5","7.248804","1.502184"
"P49757","NUMB","4.205849","1.5018605"
"Q5VTB9","RNF220","3.247758","1.4990076"
"Q16563","SYPL1","5.1724377","1.4981498"
"P51636","CAV2","4.273375","1.4971163"
"Q5T3J3","LRIF1","2.7975779","1.4960209"
"P04080","CSTB","8.368647","1.4921736"
"Q8TAE8","GADD45GIP1","4.9831705","1.4859189"
"Q8N490","PNKD","3.5737035","1.4783856"
"O00629","KPNA4","4.449469","1.4767072"
"Q15311","RALBP1","3.9489336","1.4734178"
"Q99570","PIK3R4","3.0446606","1.4716256"
"Q96LJ7","DHRS1","4.067406","1.4690523"
"P78356","PIP4K2B","2.8890007","1.4680867"
"O43681","GET3","7.060457","1.4674588"
"O00116","AGPS","5.5060263","1.4671926"
"Q15046","KARS1","6.134063","1.4668387"
"O95197","RTN3","5.258766","1.4652556"
"Q5JVF3","PCID2","2.774831","1.4575458"
"Q6PJT7","ZC3H14","4.800284","1.4524337"
"Q15599","NHERF2","5.2785077","1.4507283"
"Q86VU5","COMTD1","3.3391798","1.450154"
"P31350","RRM2","5.1503987","1.4475987"
"Q9NX24","NHP2","6.309636","1.4470202"
"Q9H330","TMEM245","3.8806875","1.4459627"
"P52292","KPNA2","7.8017206","1.4453758"
"Q8IUW5","RELL1","4.467466","1.4404403"
"Q8N9T8","KRI1","4.3589735","1.4403722"
"Q9GZT3","SLIRP","8.706773","1.4394366"
"P05198","EIF2S1","7.4351954","1.4358166"
"Q16740","CLPP","5.7398667","1.4344516"
"P11234","RALB","6.0790668","1.4334978"
"Q12962","TAF10","2.8817484","1.4328285"
"O75509","TNFRSF21","3.4457479","1.4317224"
"P57105","SYNJ2BP","6.4817257","1.4290533"
"Q7L2E3","DHX30","5.0902634","1.4279894"
"O14908","GIPC1","4.9806223","1.4267688"
"Q12788","TBL3","4.808491","1.4245728"
"Q8N6R0","METTL13","3.5483243","1.4234883"
"Q9H583","HEATR1","4.6877813","1.420034"
"P07947","YES1","4.911195","1.4182016"
"Q99942","RNF5","4.8295236","1.417361"
"P02786","TFRC","9.007217","1.4158591"
"Q96CS3","FAF2","5.4599433","1.4155462"
"Q9P035","HACD3","5.657382","1.4137056"
"O75844","ZMPSTE24","5.7010193","1.413676"
"Q92552","MRPS27","4.950933","1.4087781"
"Q92508","PIEZO1","2.8913968","1.4080775"
"P55786","NPEPPS","5.6474214","1.403889"
"O14791","APOL1","3.1726189","1.4010891"
"O95297","MPZL1","4.320792","1.400722"
"P20073","ANXA7","6.717655","1.3992882"
"A6NHR9","SMCHD1","4.4729776","1.3984789"
"Q14315","FLNC","7.8136754","1.3981749"
"Q96H55","MYO19","3.1236022","1.395533"
"Q6P9B6","MEAK7","3.8577225","1.3924224"
"P22670","RFX1","3.021002","1.3923843"
"Q8WWI1","LMO7","6.0429406","1.3914771"
"P12429","ANXA3","7.139558","1.3898647"
"P18085","ARF4","5.797712","1.3889637"
"P19784","CSNK2A2","4.9202056","1.3861458"
"Q96C19","EFHD2","6.1242123","1.3859875"
"Q9UKL3","CASP8AP2","2.801351","1.3842582"
"O60499","STX10","3.020864","1.3818741"
"Q5T7N2","L1TD1","4.3984027","1.3808297"
"Q8IXB1","DNAJC10","3.8954859","1.378536"
"Q8IZ07","ANKRD13A","3.650988","1.3785226"
"A1L0T0","ILVBL","4.9944224","1.3758525"
"Q49AH0","CDNF","6.302985","1.3757573"
"Q92544","TM9SF4","4.8820696","1.3754357"
"P82930","MRPS34","5.1297555","1.3753152"
"Q6PI78","TMEM65","3.3200028","1.3736976"
"P15260","IFNGR1","3.1174092","1.3736278"
"Q8NFV4","ABHD11","5.933188","1.3733635"
"Q56VL3","OCIAD2","6.204308","1.3732113"
"P22392","NME2","6.9727874","1.3720268"
"Q9NQW6","ANLN","4.364445","1.3705599"
"Q02952","AKAP12","5.921603","1.3690777"
"Q49B96","COX19","4.090086","1.3635571"
"Q99715","COL12A1","5.409671","1.3623546"
"Q9P2N6","KANSL3","2.5002136","1.3618779"
"P04920","SLC4A2","4.136458","1.3565242"
"Q6PIS1","SLC23A3","5.3031845","1.3541499"
"Q5EBL8","PDZD11","3.7975485","1.3537906"
"Q16594","TAF9","2.6301239","1.3513485"
"O60716","CTNND1","7.0628543","1.3501546"
"Q96ND0","FAM210A","4.713826","1.3481708"
"Q9NPA0","EMC7","5.9118524","1.3479165"
"P30260","CDC27","3.0814145","1.3472582"
"Q8TDD1","DDX54","4.324553","1.3471415"
"Q9BQS8","FYCO1","2.718115","1.346825"
"O14763","TNFRSF10B","3.388214","1.3456976"
"Q8NI36","WDR36","5.6501102","1.3451618"
"Q86UL3","GPAT4","3.0045507","1.3448918"
"Q8WXF8","DEDD2","4.214223","1.3447994"
"P51148","RAB5C","6.543024","1.3446287"
"Q12849","GRSF1","6.71664","1.344579"
"Q96IF1","AJUBA","3.958039","1.3443116"
"P53355","DAPK1","3.8384008","1.3429897"
"Q03135","CAV1","7.6201735","1.3405619"
"Q9NXW2","DNAJB12","3.6270294","1.339271"
"Q8TEX9","IPO4","5.149071","1.338909"
"Q08722","CD47","7.0600343","1.338883"
"Q9NQ55","PPAN","3.7533553","1.3380228"
"Q8NEY1","NAV1","3.244563","1.336682"
"Q9BVQ7","AFG2B","2.837475","1.3360949"
"P42704","LRPPRC","8.528836","1.3359405"
"Q9NX04","AIRIM","2.6969812","1.3335656"
"Q9Y6B6","SAR1B","4.7080054","1.3305312"
"P38571","LIPA","4.099777","1.3284482"
"Q9Y4W6","AFG3L2","6.731928","1.3273251"
"P48509","CD151","5.1979737","1.3248701"
"Q92947","GCDH","5.25511","1.322559"
"Q96QD9","FYTTD1","3.946382","1.3224641"
"P61225","RAP2B","4.5048423","1.3224626"
"Q6P1N0","CC2D1A","4.1729536","1.3221592"
"P04114","APOB","4.3512464","1.3196459"
"Q9NXG6","P4HTM","3.3127995","1.319254"
"Q9H6S3","EPS8L2","5.9668994","1.3190975"
"P67812","SEC11A","3.9587677","1.318714"
"Q9UJC3","HOOK1","3.9461865","1.3179541"
"Q12899","TRIM26","2.8419802","1.3153899"
"Q9H6W3","RIOX1","4.7118826","1.3149314"
"A9QM74","KPNA7","6.1022754","1.3143911"
"P35221","CTNNA1","7.5171394","1.3107438"
"P11388","TOP2A","6.8201027","1.3090819"
"Q96J02","ITCH","3.2263286","1.3065568"
"P00491","PNP","5.36547","1.3055133"
"Q9NQT5","EXOSC3","3.591815","1.3055087"
"Q16513","PKN2","3.703664","1.304441"
"O00299","CLIC1","9.339444","1.3022895"
"P37198","NUP62","4.983964","1.3021666"
"Q9NVU7","SDAD1","3.626929","1.3019046"
"Q13740","ALCAM","7.1731505","1.2996438"
"Q7Z6G8","ANKS1B","5.970716","1.2939359"
"Q15036","SNX17","2.9604316","1.2930834"
"Q00610","CLTC","7.939609","1.2905328"
"P49750","YLPM1","4.750794","1.2890548"
"P12830","CDH1","6.844191","1.2879536"
"O15258","RER1","3.3624382","1.2878611"
"Q8NFQ8","TOR1AIP2","5.1122084","1.2861089"
"P50238","CRIP1","8.092947","1.2850903"
"O60231","DHX16","4.1899076","1.2782354"
"Q9Y3B9","RRP15","4.9228296","1.2747563"
"Q14108","SCARB2","6.0817","1.2736274"
"Q5XKP0","MICOS13","4.325003","1.2735015"
"P23284","PPIB","10.178966","1.2728939"
"P48594","SERPINB4","6.675326","1.2717429"
"O95785","WIZ","3.5798783","1.2714857"
"A3KMH1","VWA8","3.8146076","1.2708488"
"P27797","CALR","9.619666","1.2691798"
"Q9BW19","KIFC1","3.9404075","1.2687413"
"Q96HP0","DOCK6","2.9446356","1.2677664"
"Q96RP9","GFM1","6.3882303","1.2673008"
"Q9BQ61","TRIR","5.279256","1.263231"
"Q04721","NOTCH2","3.8723204","1.2628046"
"Q08AG7","MZT1","3.5172074","1.2620629"
"Q96EL2","MRPS24","3.8702557","1.2615032"
"P51149","RAB7A","8.546762","1.2612424"
"Q15833","STXBP2","3.779346","1.2588048"
"Q01804","OTUD4","1.9543867","1.25868"
"O14672","ADAM10","5.2182274","1.257639"
"Q96EY5","MVB12A","4.007696","1.2570448"
"Q9UIQ6","LNPEP","3.9352758","1.2541336"
"P09110","ACAA1","6.1674204","1.2539016"
"P31323","PRKAR2B","4.665864","1.2534721"
"O95365","ZBTB7A","2.811166","1.2521936"
"Q9NZ01","TECR","4.9326963","1.2515588"
"P68366","TUBA4A","7.031556","1.2501013"
"Q5JSZ5","PRRC2B","3.4109206","1.2498463"
"O43395","PRPF3","5.5465717","1.2497315"
"Q9Y399","MRPS2","5.1417766","1.2495573"
"Q9Y221","NIP7","4.9937377","1.2493031"
"Q9BW27","NUP85","3.609955","1.2488834"
"P10644","PRKAR1A","5.6154385","1.2483433"
"Q9NYH9","UTP6","2.4397774","1.247931"
"Q13428","TCOF1","6.207359","1.2383435"
"Q8WWI5","SLC44A1","3.006962","1.237014"
"Q9BYG5","PARD6B","4.0304184","1.2367692"
"Q8TCG2","PI4K2B","2.176049","1.2358882"
"Q14141","SEPTIN6","5.2386446","1.2358496"
"P25686","DNAJB2","2.8763387","1.2335376"
"P18827","SDC1","5.6384478","1.2311424"
"P05187","ALPP","4.750384","1.2278948"
"Q9Y320","TMX2","4.869511","1.2266649"
"Q6P161","MRPL54","5.2456164","1.2250204"
"Q9Y2R9","MRPS7","4.3345556","1.2243931"
"Q06265","EXOSC9","4.1672826","1.2220885"
"Q9NX40","OCIAD1","7.038344","1.2208891"
"O43504","LAMTOR5","5.67079","1.2206733"
"Q13045","FLII","4.202863","1.2155879"
"Q96HA4","C1orf159","2.154292","1.2144958"
"Q9Y3D6","FIS1","6.0743294","1.2142779"
"P25685","DNAJB1","5.7981553","1.2141811"
"Q8N357","SLC35F6","4.5073104","1.2138336"
"P13804","ETFA","7.574444","1.2133611"
"Q9C0D5","TANC1","2.451377","1.2124984"
"P08581","MET","4.543518","1.2058777"
"Q92878","RAD50","5.041612","1.2045816"
"P12236","SLC25A6","8.150584","1.2034842"
"Q9UII2","ATP5IF1","6.386752","1.2030674"
"Q99805","TM9SF2","5.2016444","1.2023153"
"Q13200","PSMD2","5.6213307","1.2015126"
"Q99666","RGPD5","1.1954179","1.2012906"
"Q99666","RGPD6","1.1954179","1.2012906"
"Q96BW9","TAMM41","3.2480576","1.200601"
"Q8N442","GUF1","2.753029","1.1997336"
"P82933","MRPS9","4.821139","1.1992204"
"P31943","HNRNPH1","8.945955","1.19878"
"Q9Y624","F11R","6.8844724","1.1987171"
"Q9UNE7","STUB1","5.151158","1.1961907"
"Q8TF05","PPP4R1","3.5155818","1.1939496"
"Q9GZT6","CCDC90B","4.187893","1.1929901"
"Q9NPE2","NGRN","2.607382","1.192225"
"Q12996","CSTF3","3.956933","1.1919557"
"P61962","DCAF7","3.568734","1.1912565"
"Q6AI12","ANKRD40","2.532837","1.1910089"
"P82914","MRPS15","4.0313745","1.190669"
"Q12906","ILF3","8.335864","1.1901892"
"Q92597","NDRG1","5.440075","1.1901717"
"P56182","RRP1","5.49573","1.1879086"
"Q9Y3D3","MRPS16","5.440464","1.186951"
"Q8WVC6","DCAKD","3.1792188","1.1857074"
"Q6NUQ4","TMEM214","4.0713215","1.1851808"
"P31327","CPS1","5.6351905","1.185086"
"Q5VTL8","PRPF38B","3.2296534","1.1844532"
"O60830","TIMM17B","2.6296453","1.1841846"
"Q8WUM9","SLC20A1","3.056205","1.1820778"
"Q9H3H3","C11orf68","3.98848","1.1820022"
"Q9Y4F5","CEP170B","2.422696","1.1819394"
"O14787","TNPO2","3.1805396","1.1818966"
"Q8IU81","IRF2BP1","3.3859532","1.1817554"
"Q93050","ATP6V0A1","5.078988","1.1800785"
"Q12959","DLG1","5.259496","1.1799814"
"O00220","TNFRSF10A","2.791928","1.1778846"
"Q8IX18","DHX40","3.4603002","1.1776255"
"Q9NYL9","TMOD3","5.9579077","1.1764784"
"Q8N1F7","NUP93","6.014434","1.1759138"
"Q9NVH0","EXD2","3.477953","1.1725394"
"Q9BVG9","PTDSS2","3.5803819","1.172456"
"Q5UCC4","EMC10","4.019276","1.1719497"
"P20645","M6PR","5.1487827","1.1714584"
"Q99640","PKMYT1","2.2438548","1.170048"
"O00764","PDXK","4.8046217","1.1693704"
"P04183","TK1","4.6465454","1.1686319"
"Q03701","CEBPZ","3.8239303","1.1685824"
"Q14974","KPNB1","8.475256","1.165661"
"Q05639","EEF1A2","5.5655117","1.1652521"
"Q8N9N7","LRRC57","2.920928","1.1638345"
"Q7Z7M9","GALNT5","4.0673327","1.1635365"
"P49756","RBM25","5.7447295","1.1632195"
"O43795","MYO1B","5.3026376","1.1626014"
"Q9BW91","NUDT9","3.1517894","1.1618732"
"Q14677","CLINT1","4.502412","1.1617383"
"Q96AE7","TTC17","2.7394917","1.161125"
"Q5T8I3","EEIG2","4.3198066","1.1605861"
