"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"Q9NUJ1","ABHD10","6.1733937","1.2968134"
"Q15149","PLEC","9.983205","1.2924682"
"Q15738","NSDHL","5.7269673","1.2921953"
"P04843","RPN1","8.540547","1.2900168"
"O43291","SPINT2","6.32209","1.2898824"
"Q9BQC6","MRPL57","4.412036","1.2888441"
"Q8NHG7","SVIP","3.8309777","1.2880833"
"Q9H0A0","NAT10","5.786683","1.2871705"
"Q9BZF9","UACA","3.5092137","1.2868475"
"Q15836","VAMP3","3.8346334","1.2853048"
"Q96RT1","ERBIN","4.3923945","1.2849929"
"O75976","CPD","5.6950107","1.2834231"
"O43684","BUB3","6.0485053","1.2822511"
"Q16625","OCLN","4.1216617","1.2783867"
"P62136","PPP1CA","5.902725","1.2760186"
"Q9NVH2","INTS7","5.226585","1.2743169"
"Q9UBS4","DNAJB11","5.9719734","1.2731313"
"O95340","PAPSS2","5.663346","1.2731158"
"O75369","FLNB","8.52625","1.2720673"
"Q9UQR1","ZNF148","3.8267639","1.2695268"
"Q9Y2Z4","YARS2","4.7749553","1.269225"
"Q13137","CALCOCO2","3.4089854","1.2665781"
"Q9NVX2","NLE1","3.9841444","1.2663505"
"Q643R3","LPCAT4","3.0679991","1.266255"
"Q13562","NEUROD1","2.6150036","1.2662138"
"Q6PIS1","SLC23A3","5.180884","1.2644745"
"P13073","COX4I1","8.020871","1.2634948"
"Q9UKM9","RALY","8.219228","1.2604853"
"O00214","LGALS8","3.840994","1.2565979"
"Q86UU0","BCL9L","2.4340389","1.2564254"
"Q96J02","ITCH","3.1854436","1.2528305"
"Q9NWU5","MRPL22","4.439961","1.2525408"
"Q00610","CLTC","7.916573","1.2487639"
"Q9Y3D6","FIS1","6.1008534","1.2484897"
"Q9BZZ5","API5","6.005202","1.2484125"
"O43657","TSPAN6","3.7455156","1.2463624"
"O43264","ZW10","3.1861086","1.2426133"
"P53365","ARFIP2","3.4764118","1.2424973"
"O43143","DHX15","6.1124134","1.2416334"
"Q13601","KRR1","5.0922904","1.2407714"
"Q6ZNA5","FRRS1","4.563388","1.2403318"
"O95197","RTN3","5.0900335","1.2402567"
"P51148","RAB5C","6.455899","1.2375889"
"Q9H936","SLC25A22","3.5735817","1.2370882"
"Q8IZT6","ASPM","4.755884","1.2362039"
"Q9P015","MRPL15","4.6715393","1.2343085"
"P48454","PPP3CC","2.176168","1.2334805"
"Q8NHP6","MOSPD2","3.4365637","1.232276"
"P46379","BAG6","6.3101096","1.2313602"
"Q9Y6M1","IGF2BP2","6.6342354","1.2288169"
"O43504","LAMTOR5","5.6753983","1.2280304"
"Q9BRZ2","TRIM56","3.072509","1.2278677"
"Q9BWS9","CHID1","4.1823754","1.2269999"
"Q13085","ACACA","4.057834","1.2252655"
"Q15223","NECTIN1","4.336642","1.2230908"
"O75844","ZMPSTE24","5.528098","1.2229421"
"Q9UKN7","MYO15A","4.1757393","1.2228024"
"Q8N0U8","VKORC1L1","3.6447728","1.2226261"
"Q9NX40","OCIAD1","7.0386167","1.2213137"
"P67812","SEC11A","3.873116","1.220102"
"Q9UHJ6","SHPK","3.1140423","1.2197655"
"Q9NZ32","ACTR10","3.2751226","1.2181985"
"Q9H8Y8","GORASP2","5.0051875","1.2180018"
"O14524","NEMP1","3.8569133","1.2172805"
"P36406","TRIM23","2.9635634","1.2164177"
"Q8NI22","MCFD2","3.283916","1.2159756"
"Q9NQ50","MRPL40","4.855864","1.214258"
"Q08AF3","SLFN5","3.5952911","1.213782"
"P54709","ATP1B3","6.631677","1.2116101"
"O95470","SGPL1","3.73699","1.2091905"
"P35354","PTGS2","4.241841","1.2073827"
"Q9UBP6","METTL1","3.068667","1.206812"
"Q68DA7","FMN1","2.6074622","1.2059659"
"Q9BUQ8","DDX23","5.6714525","1.2018157"
"Q99828","CIB1","4.147443","1.2016045"
"Q9NX20","MRPL16","3.570325","1.2009225"
"Q9BRJ6","C7orf50","5.352844","1.2007327"
"Q9Y2U8","LEMD3","4.2318435","1.2002304"
"Q8N684","CPSF7","5.55667","1.1988882"
"P11387","TOP1","6.667258","1.1982075"
"Q9Y2A7","NCKAP1","3.0982835","1.1980671"
"Q8NFJ5","GPRC5A","7.231775","1.1957849"
"Q14254","FLOT2","5.7213826","1.1932847"
"Q9NY27","PPP4R2","4.0415363","1.1922575"
"O96008","TOMM40","5.3830004","1.1908089"
"Q14696","MESD","5.508251","1.1853888"
"P46459","NSF","6.0064635","1.1847366"
"Q9Y6M5","SLC30A1","3.9975772","1.1845992"
"Q08170","SRSF4","5.0303574","1.1838086"
"O75381","PEX14","4.7217","1.1824377"
"Q14444","CAPRIN1","6.470448","1.1796112"
"Q9Y496","KIF3A","2.9818513","1.179507"
"Q6P3X3","TTC27","3.5566556","1.1766208"
"P28702","RXRB","2.4912798","1.1763507"
"P61026","RAB10","7.796438","1.1736938"
"Q9NYM9","BET1L","4.0629635","1.1732744"
"O00468","AGRN","4.5606003","1.1716037"
"O95373","IPO7","5.77892","1.1715451"
"P17931","LGALS3","9.446781","1.171415"
"Q96JH7","VCPIP1","2.9454112","1.1705321"
"Q9HCU9","BRMS1","2.2101195","1.1676275"
"Q8N183","NDUFAF2","5.0926223","1.165777"
"Q9NZ01","TECR","4.873017","1.1633487"
"Q6PIW4","FIGNL1","1.7039015","1.1621786"
"P63218","GNG5","5.7557125","1.161275"
"P51572","BCAP31","7.6904426","1.1612053"
"P09669","COX6C","8.0016365","1.1602378"
"B2RUZ4","SMIM1","2.4289844","1.1589713"
"Q5BJD5","TMEM41B","4.048964","1.1562538"
"P36957","DLST","8.822294","1.1543286"
"Q5T5P2","KIAA1217","3.3669124","1.1538428"
"Q9P0K7","RAI14","4.5261374","1.1535199"
"O95793","STAU1","5.957858","1.1497456"
"P58335","ANTXR2","2.7959726","1.1495767"
"Q9HCC0","MCCC2","5.840609","1.1493088"
"Q9H3H1","TRIT1","3.46179","1.1491047"
"Q15366","PCBP2","8.415903","1.1472845"
"P82673","MRPS35","4.216513","1.1449741"
"P00533","EGFR","6.7685905","1.1419636"
"Q13099","IFT88","4.5299788","1.1406878"
"Q8TC36","SUN5","5.06696","1.1395341"
"Q9UL15","BAG5","2.5916083","1.1387343"
"Q8NBU5","ATAD1","4.476987","1.1384424"
"Q9H9P8","L2HGDH","3.7473752","1.1380255"
"Q9Y3B7","MRPL11","5.625984","1.1368543"
"Q09161","NCBP1","4.3158345","1.1363328"
"P09132","SRP19","2.589805","1.1333002"
"P50750","CDK9","3.0518885","1.1308814"
"Q96RP9","GFM1","6.291607","1.1304682"
"Q6IAA8","LAMTOR1","5.940583","1.1292311"
"Q02978","SLC25A11","3.889512","1.1292037"
"O43676","NDUFB3","4.3531146","1.1278853"
"P82933","MRPS9","4.7857013","1.127759"
"Q9Y6X8","ZHX2","3.4924223","1.1273744"
"Q8N2G8","GHDC","3.715894","1.1261072"
"Q5JRX3","PITRM1","5.6465325","1.1259573"
"O00443","PIK3C2A","1.839435","1.1258788"
"Q04721","NOTCH2","3.7296886","1.121448"
"Q07617","SPAG1","3.0695333","1.1211458"
"O43278","SPINT1","5.6468773","1.1209214"
"Q969Q0","RPL36AL","5.5841928","1.1195674"
"Q0JRZ9","FCHO2","2.642181","1.1186435"
"Q96TC7","RMDN3","5.0856547","1.1183206"
"A0PJW6","TMEM223","2.968381","1.1178279"
"Q96GC9","VMP1","2.643756","1.1159512"
"P61353","RPL27","7.3226533","1.1128538"
"Q9Y3D3","MRPS16","5.39726","1.1126431"
"P05114","HMGN1","6.263614","1.1085333"
"Q7Z7M9","GALNT5","4.005999","1.1071986"
"P26368","U2AF2","7.210699","1.1070789"
"Q15031","LARS2","3.8770022","1.1067877"
"Q8N988","ZNF557","3.6066003","1.1064172"
"Q96GC5","MRPL48","4.096393","1.1059743"
"Q8WUK0","PTPMT1","3.86147","1.1052026"
"O43181","NDUFS4","4.7043514","1.1048664"
"Q6UXH1","CRELD2","2.856015","1.1042897"
"P04181","OAT","6.420695","1.1040736"
"Q96H20","SNF8","3.2992887","1.1026269"
"Q8WWQ0","PHIP","4.123613","1.1008695"
"Q9NV92","NDFIP2","2.3060443","1.0993625"
"P35659","DEK","6.858087","1.0990458"
"Q9UHD2","TBK1","2.2594037","1.0976943"
"Q7KZ85","SUPT6H","4.4997687","1.0969204"
"P01034","CST3","4.1426005","1.0964969"
"Q9UKU6","TRHDE","3.6349196","1.0946214"
"Q13443","ADAM9","5.2052135","1.0928099"
"Q9UQB8","BAIAP2","4.8010836","1.0916672"
"Q86X10","RALGAPB","1.9346529","1.0900407"
"Q9BRK5","SDF4","4.965857","1.0881605"
"Q9UKZ1","CNOT11","2.65479","1.0863628"
"Q8NFV4","ABHD11","5.5570154","1.085815"
"P08240","SRPRA","5.023645","1.0841417"
"O15127","SCAMP2","5.032474","1.0831014"
"O60499","STX10","2.740289","1.0829096"
"Q96PD2","DCBLD2","4.7872615","1.0802639"
"Q9H0U4","RAB1B","4.4262977","1.0798333"
"P82932","MRPS6","5.326603","1.07907"
"O94874","UFL1","5.569656","1.0787926"
"Q96AG4","LRRC59","9.009548","1.0783132"
"Q9Y2Q5","LAMTOR2","4.171902","1.0770206"
"Q9Y5Z9","UBIAD1","2.8412123","1.0755658"
"O75352","MPDU1","2.1777256","1.0750147"
"Q8NFD5","ARID1B","3.0054336","1.0744077"
"Q9NXE8","CWC25","2.1837165","1.07381"
"Q2TAY7","SMU1","5.3823013","1.0730417"
"Q8TEX9","IPO4","4.9193482","1.0709352"
"P38646","HSPA9","10.188129","1.0706742"
"Q4VC31","MIX23","5.595548","1.0691749"
"Q9Y676","MRPS18B","4.3108015","1.064659"
"O60264","SMARCA5","5.3512073","1.0639864"
"Q9Y6Q5","AP1M2","3.6585772","1.0639776"
"Q8WUA2","PPIL4","3.502091","1.0632346"
"Q6IN85","PPP4R3A","2.8115246","1.0626695"
"Q86UP2","KTN1","6.840143","1.0624381"
"Q9NRR1","CYTL1","1.5925055","1.0592511"
"Q8N8J7","FAM241A","1.9580902","1.0588"
"Q14240","EIF4A2","4.604445","1.0573694"
"Q9H2U1","DHX36","3.0324125","1.0564742"
"Q9Y2D4","EXOC6B","2.7585175","1.0540309"
"Q9NTG7","SIRT3","2.7381554","1.0528425"
"Q9UHB6","LIMA1","7.170851","1.0527139"
"P20645","M6PR","5.0729513","1.0523326"
"O00746","NME4","4.589896","1.0500134"
"Q9Y3B8","REXO2","5.7469153","1.0495257"
"Q9NYF8","BCLAF1","6.3876576","1.0493565"
"Q9BV23","ABHD6","3.682281","1.0479167"
"P26599","PTBP1","7.837892","1.0477786"
"Q02218","OGDH","6.1732364","1.0477684"
"Q99805","TM9SF2","5.114079","1.0476177"
"Q9H8V3","ECT2","2.1557388","1.0472231"
